Job ID,Job Title,Company Name,Job Tags,Location,Job Type,Date Posted,Job URL,Category,Scraped Date
1129387,Senior Staff AI Software Engineer,Aegis Ventures,"software, python, technical, growth, senior, operational, health, healthcare, engineer, backend","Remote, U.S.",Full-time,2026-01-01T21:00:15+00:00,https://remoteOK.com/remote-jobs/remote-senior-staff-ai-software-engineer-aegis-ventures-1129387,remote-backend-jobs,2026-01-03 11:46:38
1129384,Member of Technical Staff Fullstack Engineer,Inflection AI,"technical, support, engineer, engineering, backend, fullstack",Palo Alto,Full-time,2025-12-31T08:00:42+00:00,https://remoteOK.com/remote-jobs/remote-member-of-technical-staff-fullstack-engineer-inflection-ai-1129384,remote-backend-jobs,2026-01-03 11:46:38
1129375,Senior Software Engineer,Chainguard,"software, design, cloud, management, senior, go, engineer, engineering, backend, digital nomad",Remote,Full-time,2025-12-30T00:01:11+00:00,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-chainguard-1129375,remote-backend-jobs,2026-01-03 11:46:38
1129368,Senior Software Developer II Cloud,Life360,"developer, software, cloud, php, mobile, senior, operations, go, backend, digital nomad","Remote, Canada",Full-time,2025-12-29T18:00:14+00:00,https://remoteOK.com/remote-jobs/remote-senior-software-developer-ii-cloud-life360-1129368,remote-backend-jobs,2026-01-03 11:46:38
1129355,Senior Backend Software Engineer,Teleport,"software, security, recruiter, code, education, cloud, senior, go, health, engineer, engineering, linux, backend",United States,Full-time,2025-12-28T16:00:02+00:00,https://remoteOK.com/remote-jobs/remote-senior-backend-software-engineer-teleport-1129355,remote-backend-jobs,2026-01-03 11:46:38
1129351,Frontend Engineer Trading Platform,MyFunded Futures,"frontend, design, test, code, financial, api, engineer, backend, digital nomad",Remote,Full-time,2025-12-27T08:00:12+00:00,https://remoteOK.com/remote-jobs/remote-frontend-engineer-trading-platform-myfunded-futures-1129351,remote-backend-jobs,2026-01-03 11:46:38
1129341,Staff Software Engineer Backend with Close 10 years of experience,Outreach,"software, design, technical, code, microsoft, senior, sales, engineer, backend, digital nomad",Hyderabad,Full-time,2025-12-26T11:00:02+00:00,https://remoteOK.com/remote-jobs/remote-staff-software-engineer-backend-with-close-10-years-of-experience-outreach-1129341,remote-backend-jobs,2026-01-03 11:46:38
1129339,Full Stack Engineer Contacts,Calendly,"design, saas, react, front-end, technical, software, growth, web, cloud, node.js, engineer, engineering, backend, digital nomad",Remote - US,Full-time,2025-12-25T22:00:17+00:00,https://remoteOK.com/remote-jobs/remote-full-stack-engineer-contacts-calendly-1129339,remote-backend-jobs,2026-01-03 11:46:38
1129336,Senior Frontend Engineer,Arize AI,"frontend, react, typescript, api, senior, junior, engineer, engineering, backend",Remote,Full-time,2025-12-25T10:00:21+00:00,https://remoteOK.com/remote-jobs/remote-senior-frontend-engineer-arize-ai-1129336,remote-backend-jobs,2026-01-03 11:46:38
1129305,Staff Software Engineer Backend,Leona Health,"software, python, cto, technical, strategy, medical, health, engineer, engineering, backend",San Francisco ,Full-time,2025-12-22T18:00:02+00:00,https://remoteOK.com/remote-jobs/remote-staff-software-engineer-backend-leona-health-1129305,remote-backend-jobs,2026-01-03 11:46:38
1129259,Member of Technical Staff Atlas,Anchorage Digital,"design, crypto, cryptocurrency, system, security, technical, software, testing, growth, code, manager, financial, finance, bank, c++, cloud, api, legal, engineering, backend, digital nomad",United States,Full-time,2025-12-17T08:00:08+00:00,https://remoteOK.com/remote-jobs/remote-member-of-technical-staff-atlas-anchorage-digital-1129259,remote-backend-jobs,2026-01-03 11:46:38
1129245,Software Engineer II Golang,Stacklok,"software, design, system, frontend, code, management, golang, engineer, backend, digital nomad",Remote: Spain,Full-time,2025-12-16T16:00:24+00:00,https://remoteOK.com/remote-jobs/remote-software-engineer-ii-golang-stacklok-1129245,remote-backend-jobs,2026-01-03 11:46:38
1129241,Java Software Engineer,capital.com,"software, design, security, code, financial, java, operations, reliability, engineer, engineering, backend, digital nomad",,Full-time,2025-12-16T13:00:02+00:00,https://remoteOK.com/remote-jobs/remote-java-software-engineer-capital-com-1129241,remote-backend-jobs,2026-01-03 11:46:38
1129230,Staff Software Engineer,NMI,"software, design, c#, technical, support, code, microsoft, junior, operational, reliability, engineer, engineering, backend, digital nomad","Remote, US",Full-time,2025-12-15T18:00:53+00:00,https://remoteOK.com/remote-jobs/remote-staff-software-engineer-nmi-1129230,remote-backend-jobs,2026-01-03 11:46:38
1129224,Senior DevOps Engineer,Inkitt,"redis, system, security, support, devops, elasticsearch, c, cloud, postgresql, senior, analytics, reliability, engineer, backend",Remote Mexico City,Full-time,2025-12-15T12:00:01+00:00,https://remoteOK.com/remote-jobs/remote-senior-devops-engineer-inkitt-1129224,remote-backend-jobs,2026-01-03 11:46:38
1129220,Senior Systems Engineer Software,2100 NVIDIA USA,"software, frontend, technical, support, test, code, cloud, api, leader, senior, golang, engineer, engineering, backend","US, CA, Remote",Full-time,2025-12-14T16:00:02+00:00,https://remoteOK.com/remote-jobs/remote-senior-systems-engineer-software-2100-nvidia-usa-1129220,remote-backend-jobs,2026-01-03 11:46:38
1129205,Mid C# Fullstack Developer,Zipdev,"c#, developer, saas, training, technical, software, code, voice, devops, laravel, php, nosql, strategy, analytics, sales, engineering, backend, fullstack, digital nomad",,Full-time,2025-12-13T08:00:19+00:00,https://remoteOK.com/remote-jobs/remote-mid-c-fullstack-developer-zipdev-1129205,remote-backend-jobs,2026-01-03 11:46:38
1129195,TypeScript Developer,Stoke Studio,"backend, javascript, node, typescript, graphql, postgres, ai, engineer, dev",,Full-time,2025-12-12T22:57:29+00:00,https://remoteOK.com/remote-jobs/remote-typescript-developer-stoke-studio-1129195,remote-backend-jobs,2026-01-03 11:46:38
1129186,Full Stack Software Engineer,CompassX Group,"software, design, react, frontend, full-stack, architect, technical, support, growth, code, lead, junior, engineer, backend, digital nomad",Remote  - CST Timezone,Full-time,2025-12-12T08:00:58+00:00,https://remoteOK.com/remote-jobs/remote-full-stack-software-engineer-compassx-group-1129186,remote-backend-jobs,2026-01-03 11:46:38
1129185,Senior Backend Engineer,Goodnotes,"support, qa, devops, cloud, senior, engineer, backend",Europe & Asia,Full-time,2025-12-12T08:00:51+00:00,https://remoteOK.com/remote-jobs/remote-senior-backend-engineer-goodnotes-1129185,remote-backend-jobs,2026-01-03 11:46:38
1129146,Cloud Architect NodeJs React,3Pillar,"react, architect, design, saas, technical, software, growth, code, devops, serverless, nodejs, cloud, typescript, leader, strategy, management, health, engineering, backend, digital nomad",India,Full-time,2025-12-09T08:01:45+00:00,https://remoteOK.com/remote-jobs/remote-cloud-architect-nodejs-react-3pillar-1129146,remote-backend-jobs,2026-01-03 11:46:38
1129120,Senior PHP Developer,Prezly,"engineer, technical, backend, php",,Full-time,2025-12-05T14:27:25+00:00,https://remoteOK.com/remote-jobs/remote-senior-php-developer-prezly-1129120,remote-backend-jobs,2026-01-03 11:46:38
1129115,Backend Engineer Unichain,Uniswap Labs,"design, defi, crypto, ethereum, system, technical, code, web, cloud, api, reliability, engineer, engineering, backend, digital nomad",New York,Full-time,2025-12-05T10:00:15+00:00,https://remoteOK.com/remote-jobs/remote-backend-engineer-unichain-uniswap-labs-1129115,remote-backend-jobs,2026-01-03 11:46:38
1129086,Senior Application Engineer,InfStones,"design, web3, system, technical, software, growth, code, devops, cloud, node, leader, management, lead, senior, junior, engineer, engineering, backend, full-time, digital nomad",Texas,Full-time,2025-12-02T10:00:01+00:00,https://remoteOK.com/remote-jobs/remote-senior-application-engineer-infstones-1129086,remote-backend-jobs,2026-01-03 11:46:38
1129056,Senior Full Stack Software Engineer,Ether.fi,"software, defi, crypto, front-end, technical, code, travel, banking, management, senior, analytics, go, engineer, engineering, backend",New York City,Full-time,2025-11-26T22:00:12+00:00,https://remoteOK.com/remote-jobs/remote-senior-full-stack-software-engineer-ether-fi-1129056,remote-backend-jobs,2026-01-03 11:46:38
1129047,Staff Backend Engineer Golang,Voodoo,"golang, mobile, golang, engineer, backend",,Full-time,2025-11-25T21:00:03+00:00,https://remoteOK.com/remote-jobs/remote-staff-backend-engineer-golang-voodoo-1129047,remote-backend-jobs,2026-01-03 11:46:38
1129046,Senior Software Engineer Agentic Assistant,Flock Safety,"software, assistant, design, system, security, full-stack, technical, recruiter, testing, ui, ux, web, cloud, postgresql, typescript, node, api, senior, excel, sales, reliability, health, engineer, engineering, backend, digital nomad",,Full-time,2025-11-25T16:00:14+00:00,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-agentic-assistant-flock-safety-1129046,remote-backend-jobs,2026-01-03 11:46:38
1129033,Senior Software Engineer Back End,Tomo,"software, fintech, senior, engineer, engineering, backend",US,Full-time,2025-11-24T16:00:34+00:00,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-back-end-tomo-1129033,remote-backend-jobs,2026-01-03 11:46:38
1129015,DevOps Engineer,HappyCo,"design, security, developer, devops, cloud, postgresql, mobile, management, operations, reliability, golang, engineer, engineering, recruitment, linux, educational, backend, digital nomad",Canada,Full-time,2025-11-22T06:00:01+00:00,https://remoteOK.com/remote-jobs/remote-devops-engineer-happyco-1129015,remote-backend-jobs,2026-01-03 11:46:38
1129012,Intern Software Development,Netomi,"software, design, technical, code, web, java, management, backend, digital nomad",Remote - India,Full-time,2025-11-21T09:00:02+00:00,https://remoteOK.com/remote-jobs/remote-intern-software-development-netomi-1129012,remote-backend-jobs,2026-01-03 11:46:38
